kingdom,phylum,class,order,family,spp_gp,species,subpops
Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,lobsters,1,0
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,clupeiformes,7,0
Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,clupeiformes,4,0
Animalia,Chordata,Actinopterygii,Clupeiformes,Pristigasteridae,clupeiformes,1,0
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,marinefish,1,0
Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,marinefish,26,0
Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,marinefish,7,0
Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,marinefish,3,0
Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,marinefish,3,0
Animalia,Chordata,Actinopterygii,Perciformes,Dactyloscopidae,marinefish,7,0
Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,marinefish,27,0
Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,marinefish,3,0
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,marinefish,25,0
Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,marinefish,9,0
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,marinefish,4,0
Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,marinefish,9,0
Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,marinefish,25,0
Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,marinefish,8,0
Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,syngathiform_fishes,15,0
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,marinefish,12,0
Animalia,Chordata,Aves,Anseriformes,Anatidae,bli_marine_v2018,7,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,bli_marine_v2018,10,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,bli_marine_v2018,17,0
Animalia,Chordata,Aves,Gaviiformes,Gaviidae,bli_marine_v2018,1,0
Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,bli_marine_v2018,1,0
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,bli_marine_v2018,1,0
Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,bli_marine_v2018,21,0
Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,bli_marine_v2018,10,0
Animalia,Chordata,Aves,Procellariiformes,Oceanitidae,bli_marine_v2018,2,0
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,bli_marine_v2018,53,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,bli_marine_v2018,13,0
Animalia,Chordata,Aves,Suliformes,Fregatidae,bli_marine_v2018,2,0
Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,bli_marine_v2018,14,0
Animalia,Chordata,Aves,Suliformes,Sulidae,bli_marine_v2018,2,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,sharks_rays_chimaeras,35,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Hemigaleidae,sharks_rays_chimaeras,4,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Leptochariidae,sharks_rays_chimaeras,1,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,sharks_rays_chimaeras,5,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,sharks_rays_chimaeras,12,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,sharks_rays_chimaeras,6,0
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,sharks_rays_chimaeras,13,0
Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,sharks_rays_chimaeras,3,0
Animalia,Chordata,Chondrichthyes,Hexanchiformes,Hexanchidae,sharks_rays_chimaeras,2,0
Animalia,Chordata,Chondrichthyes,Lamniformes,Alopiidae,sharks_rays_chimaeras,3,0
Animalia,Chordata,Chondrichthyes,Lamniformes,Cetorhinidae,sharks_rays_chimaeras,1,0
Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,sharks_rays_chimaeras,4,0
Animalia,Chordata,Chondrichthyes,Lamniformes,Odontaspididae,sharks_rays_chimaeras,2,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Aetobatidae,sharks_rays_chimaeras,3,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,sharks_rays_chimaeras,30,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Gymnuridae,sharks_rays_chimaeras,3,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,sharks_rays_chimaeras,8,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,sharks_rays_chimaeras,6,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Rhinopteridae,sharks_rays_chimaeras,5,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,sharks_rays_chimaeras,8,0
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urotrygonidae,sharks_rays_chimaeras,3,0
Animalia,Chordata,Chondrichthyes,Orectolobiformes,Brachaeluridae,sharks_rays_chimaeras,1,0
Animalia,Chordata,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,sharks_rays_chimaeras,2,0
Animalia,Chordata,Chondrichthyes,Orectolobiformes,Hemiscylliidae,sharks_rays_chimaeras,10,0
Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,sharks_rays_chimaeras,1,0
Animalia,Chordata,Chondrichthyes,Orectolobiformes,Stegostomidae,sharks_rays_chimaeras,1,2
Animalia,Chordata,Chondrichthyes,Pristiophoriformes,Pristiophoridae,sharks_rays_chimaeras,1,0
Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,sharks_rays_chimaeras,15,0
Animalia,Chordata,Chondrichthyes,Rajiformes,Gurgesiellidae,sharks_rays_chimaeras,1,0
Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,sharks_rays_chimaeras,34,0
Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Glaucostegidae,sharks_rays_chimaeras,6,0
Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Pristidae,sharks_rays_chimaeras,5,6
Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinidae,sharks_rays_chimaeras,10,0
Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinobatidae,sharks_rays_chimaeras,16,0
Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Trygonorrhinidae,sharks_rays_chimaeras,2,0
Animalia,Chordata,Chondrichthyes,Squaliformes,Centrophoridae,sharks_rays_chimaeras,5,1
Animalia,Chordata,Chondrichthyes,Squaliformes,Dalatiidae,sharks_rays_chimaeras,1,0
Animalia,Chordata,Chondrichthyes,Squaliformes,Oxynotidae,sharks_rays_chimaeras,2,0
Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,sharks_rays_chimaeras,4,0
Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,sharks_rays_chimaeras,8,0
Animalia,Chordata,Chondrichthyes,Squatiniformes,Squatinidae,sharks_rays_chimaeras,14,0
Animalia,Chordata,Chondrichthyes,Torpediniformes,Narcinidae,sharks_rays_chimaeras,10,0
Animalia,Chordata,Chondrichthyes,Torpediniformes,Narkidae,sharks_rays_chimaeras,3,0
Animalia,Chordata,Chondrichthyes,Torpediniformes,Platyrhinidae,sharks_rays_chimaeras,1,0
Animalia,Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,sharks_rays_chimaeras,2,0
Animalia,Chordata,Mammalia,Carnivora,Mustelidae,mammals,8,0
Animalia,Chordata,Mammalia,Carnivora,Odobenidae,mammals,1,0
Animalia,Chordata,Mammalia,Carnivora,Otariidae,mammals,7,1
Animalia,Chordata,Mammalia,Carnivora,Phocidae,mammals,3,0
Animalia,Chordata,Mammalia,Carnivora,Ursidae,mammals,1,0
Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenidae,mammals,3,3
Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,mammals,5,1
Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,mammals,16,5
Animalia,Chordata,Mammalia,Cetartiodactyla,Eschrichtiidae,mammals,1,1
Animalia,Chordata,Mammalia,Cetartiodactyla,Monodontidae,mammals,1,1
Animalia,Chordata,Mammalia,Cetartiodactyla,Phocoenidae,mammals,5,1
Animalia,Chordata,Mammalia,Cetartiodactyla,Physeteridae,mammals,1,0
Animalia,Chordata,Mammalia,Cetartiodactyla,Pontoporiidae,mammals,1,1
Animalia,Chordata,Mammalia,Sirenia,Dugongidae,mammals,2,1
Animalia,Chordata,Mammalia,Sirenia,Trichechidae,mammals,2,0
Animalia,Chordata,Myxini,Myxiniformes,Myxinidae,marinefish,11,0
Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,reptiles,1,0
Animalia,Chordata,Reptilia,Squamata,Elapidae,reptiles,8,0
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,reptiles,5,6
Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,reptiles,1,6
Animalia,Cnidaria,Anthozoa,Helioporacea,Helioporidae,reef_forming_corals,1,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,reef_forming_corals,136,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,reef_forming_corals,16,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Astrocoeniidae,reef_forming_corals,2,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,reef_forming_corals,10,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Euphyllidae,reef_forming_corals,14,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,reef_forming_corals,83,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Fungiidae,reef_forming_corals,12,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Meandrinidae,reef_forming_corals,3,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,reef_forming_corals,4,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,reef_forming_corals,24,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Oculinidae,reef_forming_corals,7,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Pectiniidae,reef_forming_corals,12,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,reef_forming_corals,14,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,reef_forming_corals,51,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Siderastreidae,reef_forming_corals,11,0
Animalia,Cnidaria,Anthozoa,Scleractinia,Trachyphylliidae,reef_forming_corals,1,0
Animalia,Cnidaria,Hydrozoa,Milleporina,Milleporidae,reef_forming_corals,6,0
Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,conus,67,0
Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,seagrasses,5,0
Plantae,Tracheophyta,Liliopsida,Alismatales,Posidoniaceae,seagrasses,2,0
Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,seagrasses,8,0
Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,mangroves,1,0
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,mangroves,1,0
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Avicenniaceae,mangroves,2,0
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,mangroves,4,0
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,mangroves,2,0
Plantae,Tracheophyta,Magnoliopsida,Plumbaginales,Plumbaginaceae,mangroves,1,0
Plantae,Tracheophyta,Magnoliopsida,Primulales,Myrsinaceae,mangroves,1,0
Plantae,Tracheophyta,Magnoliopsida,Rhizophorales,Rhizophoraceae,mangroves,3,0
Plantae,Tracheophyta,Magnoliopsida,Scrophulariales,Bignoniaceae,mangroves,1,0
Plantae,Tracheophyta,Magnoliopsida,Theales,Pellicieraceae,mangroves,1,0
