range,pct_sig,pct_area,stressor,sig_pct_area
decr1,0.9602449503679195,0.005810648445868913,direct_human,0.005579645828508823
decr2,1,1.6270619135797687e-4,direct_human,1.6270619135797687e-4
decr3,1,5.7391954623625e-7,direct_human,5.7391954623625e-7
incr1,0.9744119442227335,0.012223912415285887,direct_human,0.011911126262587132
incr2,1,0.001949604698564541,direct_human,0.001949604698564541
incr3,1,4.878316143008125e-6,direct_human,4.878316143008125e-6
decr1,0.1541427676290548,0.005953554412881739,nutrient,9.176973544317636e-4
decr2,0.4553486904386242,0.005456253126068029,nutrient,0.002484497715656726
decr3,0.8360232408005165,4.445006885599756e-4,nutrient,3.716129061879719e-4
incr1,0.15546939079859817,0.0076968350345743486,nutrient,0.0011966222539025813
incr2,0.44457297088876035,0.005953841372654857,nutrient,0.0026469169472415847
incr3,0.9057527539779682,9.377845385500325e-4,nutrient,8.494009284296499e-4
decr1,0.025021484762345475,0.008681680975915753,shipping,2.1722854825042062e-4
decr2,0.32150631024758475,0.026762155400769455,shipping,0.00860420183717386
decr3,0.8912144702842377,0.0033316029659014312,shipping,0.0029691727724532394
incr1,0.8585560899963203,0.08734137222441747,shipping,0.07498746703190907
incr2,0.9181485890928839,0.5495509223030588,shipping,0.5045694039472465
incr3,0.9659641154036864,0.046876887657257546,shipping,0.04528139131872077
decr1,0.6228086548987756,0.05688202710679409,art_fish,0.03542661879029812
decr2,0.8250714709531258,0.005319947233836919,art_fish,0.00438933668961484
decr3,0.9699570815450643,6.017546442287081e-4,art_fish,5.836761785222662e-4
incr1,0.4570540573379975,0.044872186682254324,art_fish,0.020509014984752393
incr2,0.8704019073569482,0.011795194514247409,art_fish,0.010266559802847157
incr3,0.8391730903994394,8.189831924791287e-4,art_fish,6.872686566179093e-4
decr1,0.09078061646262252,0.07289639116519729,dem_dest,0.00661757932787708
decr2,0.22602318898027945,0.014478555352674996,dem_dest,0.003272489252639097
decr3,0.19821967890637418,0.0018052639326861242,dem_dest,3.5783883707830183e-4
incr1,0.3974817923713122,0.27198535127750184,dem_dest,0.1081092249245224
incr2,0.18209240729841084,0.011701071708664664,dem_dest,0.002130676315402078
incr3,0.17625191340476712,0.0013122670424691855,dem_dest,2.3128957713320874e-4
decr1,0.07806571130464408,0.06738245912473252,dem_nondest_hb,0.005260259601028349
decr2,0.11217914294919987,0.010687529790011446,dem_nondest_hb,0.0011989179320875262
decr3,0.2422633495145631,0.0018916388243946799,dem_nondest_hb,4.582747576696456e-4
incr1,0.1903847371897536,0.12685573298278327,dem_nondest_hb,0.024151395384940752
incr2,0.13935907970419062,0.012223051535966534,dem_nondest_hb,0.0017033932132291898
incr3,0.12421303386081334,0.0016864625866152205,dem_nondest_hb,2.0948063437623124e-4
decr1,0.06796700055632746,0.10264637172367266,dem_nondest_lb,0.006976566004047855
decr2,0.09034629522151287,0.00741647533623794,dem_nondest_lb,6.700510702308219e-4
decr3,0.10913999228692634,0.0014881733833905961,dem_nondest_lb,1.6241923158485873e-4
incr1,0.099821226678857,0.14061201058651995,dem_nondest_lb,0.014036063382526848
incr2,0.11492395771135541,0.008170031700446136,dem_nondest_lb,9.389323776425049e-4
incr3,0.03976897689768977,0.0017389762250958373,dem_nondest_lb,6.915730532146812e-5
decr1,0.1838230110231493,0.2523587375950877,pel_hb,0.04638934300272985
decr2,0.37611195487090476,0.013225975943014381,pel_hb,0.004974447667002697
decr3,0.41089640365002683,0.0010692121146381338,pel_hb,4.393354126438494e-4
incr1,0.3349978804248484,0.3689255279127206,pel_hb,0.12358926988537965
incr2,0.26859049099624305,0.017720339909590453,pel_hb,0.004759514796937221
incr3,0.3399103139013453,9.59880441080128e-4,pel_hb,3.262732620353081e-4
decr1,0.22234836389428037,0.39001907995531465,pel_lb,0.08672010431561673
decr2,0.21385365853658536,0.004412006511691172,pel_lb,9.43523734012395e-4
decr3,0.1188423645320197,4.66022671543835e-4,pel_lb,5.538323621179812e-5
incr1,0.18294563533322947,0.47525875880141494,pel_lb,0.08694651557660692
incr2,0.2620481927710843,0.005525697391162615,pel_lb,0.0014479990151540587
incr3,0.21201413427561838,3.2483846316971746e-4,pel_lb,6.887034554835e-5
decr1,0.30995503767969096,0.009062763554616623,organic,0.0028090492190533255
decr2,0.6133396071050464,0.0024394450312771807,organic,0.0014962082570379037
decr3,0.8514531754574811,5.331712584534762e-4,organic,4.539703610728737e-4
incr1,0.2762815488321054,0.009152581963602597,organic,0.0025286895207169177
incr2,0.6633626097867001,0.002287069391751456,organic,0.0015171563204755267
incr3,0.881502000615574,9.323323028607881e-4,organic,8.2185279021031e-4
decr1,0.0345086271567892,0.001147552132699382,light,3.9600448690301256e-5
decr2,0.19610570236439498,2.0632407687193186e-4,light,4.046132800965562e-5
decr3,0.5,6.887034554834999e-6,light,3.4435172774174996e-6
incr1,0.0817617569825734,0.0024041489791836513,light,1.965674445859156e-4
incr2,0.5119641808573107,0.003909539948961335,light,0.002001544417498922
incr3,0.8900523560209425,0.0023019912999535986,light,0.0020488927800634124
decr1,0.023410284641625905,0.03179686462012696,sst,7.443736514684162e-4
decr2,0.1096413227627133,0.12263168512248447,sst,0.013445500169449747
decr3,0.6132476179543106,0.09248914359438351,sst,0.05671874699588987
incr1,0.10729605635574564,0.04562373432805069,sst,0.004895246769622094
incr2,0.26831783460644304,0.17280717537173487,sst,0.04636724710019975
incr3,0.89915868172384394,0.47632309259991007,sst,0.4282900440167596
decr1,0,8.614532389006112e-4,slr,0
decr2,0.1463546965072906,0.0042312218546267525,slr,6.192591903889137e-4
decr3,0.7974809413324494,0.0017315152709947662,slr,0.0013808504282444174
incr1,0,0.0010161245566112805,slr,0
incr2,0.5270752042219914,0.010222367997786965,slr,0.005387956700065914
incr3,0.9725389494663013,0.014974421840623116,slr,0.014563208485744843
decr1,0,0.018825708955641472,oa,0
decr2,0.02098544893251704,0.016545813558217968,oa,3.472213254729312e-4
incr1,0.025614256579586287,0.023638598270378664,oa,6.054851212792437e-4
incr2,0.7438946612744476,0.8166384441729805,oa,0.6074929788117512
incr3,0.9656113254903436,0.1221065487376783,oa,0.11790746637764078
